prompt_tokens,completion_tokens,total_tokens
1047,138,1185
295,170,465
485,571,1056
804,546,1350
1064,187,1251
361,242,603
574,835,1409
1085,961,2046
1054,109,1163
273,107,380
429,596,1025
836,1119,1955
1071,128,1199
309,171,480
510,644,1154
901,680,1581
1046,224,1270
380,258,638
572,806,1378
1038,1266,2304
1061,178,1239
349,227,576
556,594,1150
841,616,1457
1076,231,1307
417,255,672
599,682,1281
944,950,1894
1055,242,1297
407,249,656
572,558,1130
799,974,1773
1065,167,1232
342,203,545
536,808,1344
1060,801,1861
1075,156,1231
341,206,547
549,703,1252
965,892,1857
1062,162,1224
334,191,525
521,714,1235
962,883,1845
1054,137,1191
301,125,426
447,697,1144
938,637,1575
1050,138,1188
298,124,422
442,702,1144
938,659,1597
1067,188,1255
365,167,532
502,1068,1570
1321,1017,2338
1074,202,1276
386,245,631
587,582,1169
842,550,1392
1074,113,1187
297,151,448
493,606,1099
867,779,1646
1053,138,1191
301,202,503
523,696,1219
935,739,1674
1093,138,1231
341,125,466
486,702,1188
981,724,1705
1077,113,1190
300,165,465
510,545,1055
808,630,1438
1069,113,1182
292,161,453
498,726,1224
981,699,1680
1056,192,1248
358,203,561
527,750,1277
993,1159,2152
1034,109,1143
253,151,404
453,686,1139
907,868,1775
1075,138,1213
1077,113,1190
300,173,473
518,601,1119
864,677,1541
1069,113,1182
292,122,414
459,600,1059
856,581,1437
1056,113,1169
279,177,456
501,566,1067
808,659,1467
1034,151,1185
295,171,466
473,617,1090
837,697,1534
1075,105,1180
290,157,447
500,633,1133
894,905,1799
1047,109,1156
266,108,374
423,616,1039
850,736,1586
1053,156,1209
319,203,522
524,543,1067
782,683,1465
1062,138,1200
310,174,484
504,615,1119
863,749,1612
1068,140,1208
318,223,541
559,867,1426
1122,838,1960
1070,105,1175
285,158,443
496,579,1075
835,725,1560
1062,113,1175
285,148,433
478,639,1117
887,1087,1974
1058,158,1216
326,294,620
620,727,1347
971,873,1844
1059,169,1228
338,243,581
570,508,1078
753,821,1574
1060,113,1173
283,117,400
445,854,1299
1101,831,1932
1069,113,1182
292,180,472
517,685,1202
940,865,1805
1080,113,1193
303,183,486
531,658,1189
924,629,1553
1042,138,1180
290,175,465
485,580,1065
808,653,1461
1070,133,1203
313,181,494
519,647,1166
904,769,1673
1074,202,1276
386,216,602
558,496,1054
757,843,1600
1038,138,1176
286,124,410
430,431,861
656,428,1084
1070,109,1179
289,129,418
467,1024,1491
1280,1010,2290
1088,109,1197
307,157,464
513,814,1327
1089,1151,2240
1089,109,1198
308,157,465
514,557,1071
832,761,1593
1034,109,1143
253,159,412
461,603,1064
823,585,1408
1052,204,1256
366,250,616
570,703,1273
941,966,1907
1067,109,1176
286,136,422
471,773,1244
1027,708,1735
1057,137,1194
304,137,441
462,602,1064
845,937,1782
1077,113,1190
300,182,482
527,549,1076
812,698,1510
1058,160,1218
328,218,546
544,824,1368
1069,809,1878
1098,109,1207
317,134,451
500,512,1012
796,953,1749
1094,193,1287
397,269,666
631,661,1292
941,843,1784
1074,184,1258
368,213,581
555,668,1223
928,862,1790
1086,113,1199
309,140,449
494,527,1021
799,731,1530
1073,167,1240
350,215,565
556,638,1194
897,716,1613
1065,138,1203
313,188,501
521,618,1139
869,610,1479
1057,142,1199
309,171,480
496,621,1117
865,944,1809
1051,155,1206
316,133,449
452,604,1056
841,857,1698
1076,128,1204
314,190,504
534,606,1140
869,606,1475
1062,128,1190
300,143,443
473,558,1031
806,910,1716
1074,202,1276
386,212,598
554,763,1317
1023,1364,2387
1071,133,1204
314,155,469
494,485,979
742,634,1376
1064,170,1234
344,178,522
510,612,1122
862,759,1621
1077,113,1190
300,126,426
471,660,1131
924,827,1751
1045,164,1209
319,174,493
487,681,1168
913,1048,1961
1063,133,1196
306,165,471
496,558,1054
807,501,1308
1088,113,1201
311,142,453
498,732,1230
1006,1171,2177
1065,142,1207
317,179,496
512,439,951
691,1093,1784
1074,142,1216
326,149,475
491,585,1076
845,630,1475
1055,169,1224
334,253,587
576,1021,1597
1263,945,2208
1056,109,1165
275,112,387
436,632,1068
874,584,1458
1066,109,1175
285,128,413
462,617,1079
869,784,1653
1046,138,1184
294,179,473
493,612,1105
844,781,1625
1069,140,1209
319,167,486
504,697,1201
952,893,1845
1064,160,1224
334,208,542
540,698,1238
948,1024,1972
1056,113,1169
279,174,453
498,650,1148
892,889,1781
1051,175,1226
336,190,526
509,622,1131
859,999,1858
1069,128,1197
307,171,478
508,586,1094
841,787,1628
1046,242,1288
398,264,662
578,505,1083
737,689,1426
1064,261,1325
435,271,706
603,709,1312
959,1098,2057
1093,104,1197
307,144,451
505,529,1034
808,639,1447
1061,109,1170
280,105,385
434,636,1070
884,875,1759
1074,202,1276
386,227,613
569,935,1504
1195,1008,2203
1077,148,1225
335,193,528
538,648,1186
912,808,1720
1085,113,1198
308,186,494
539,775,1314
1047,991,2038
1082,113,1195
305,151,456
501,473,974
741,591,1332
1044,142,1186
296,183,479
495,738,1233
968,736,1704
1056,133,1189
299,117,416
441,598,1039
840,599,1439
1074,215,1289
399,254,653
596,747,1343
1007,849,1856
1066,128,1194
304,169,473
503,706,1209
958,878,1836
1056,104,1160
270,103,373
427,509,936
751,1009,1760
1077,171,1248
358,280,638
625,729,1354
993,1031,2024
1076,180,1256
366,233,599
577,641,1218
903,1074,1977
1080,151,1231
341,227,568
575,697,1272
963,947,1910
1084,156,1240
350,174,524
526,648,1174
918,1014,1932
1072,192,1264
374,218,592
558,874,1432
1132,1217,2349
1055,138,1193
303,142,445
465,645,1110
887,1023,1910
1069,164,1233
343,219,562
556,639,1195
894,637,1531
1050,174,1224
334,269,603
587,614,1201
850,757,1607
1085,113,1198
308,182,490
535,670,1205
942,898,1840
1059,104,1163
273,107,380
434,925,1359
1171,880,2051
1085,142,1227
337,193,530
546,550,1096
822,1579,2401
1065,166,1231
341,208,549
541,639,1180
890,1010,1900
1051,138,1189
299,127,426
446,697,1143
934,891,1825
1064,109,1173
283,155,438
487,757,1244
1007,745,1752
1046,138,1184
294,121,415
435,453,888
685,776,1461
1074,184,1258
368,180,548
522,528,1050
788,670,1458
1070,109,1179
289,110,399
448,504,952
760,1019,1779
1077,137,1214
324,181,505
526,589,1115
853,695,1548
1042,113,1155
265,194,459
504,551,1055
779,577,1356
1068,167,1235
345,155,500
491,510,1001
764,1072,1836
1060,191,1251
361,223,584
551,690,1241
936,1586,2522
1085,113,1198
308,160,468
513,830,1343
1101,1081,2182
1065,184,1249
359,234,593
567,717,1284
968,940,1908
1063,173,1236
346,171,517
502,668,1170
917,1209,2126
1052,140,1192
302,151,453
471,465,936
703,529,1232
1073,105,1178
288,107,395
448,792,1240
1051,818,1869
1060,125,1185
295,150,445
478,862,1340
1108,826,1934
1077,113,1190
300,133,433
478,978,1456
1242,937,2179
1059,133,1192
302,143,445
470,569,1039
814,649,1463
1048,113,1161
271,141,412
457,777,1234
1011,835,1846
1073,167,1240
350,257,607
598,691,1289
951,1048,1999
1078,113,1191
301,168,469
514,650,1164
914,941,1855
1064,170,1234
344,178,522
510,705,1215
955,1243,2198
1063,113,1176
286,136,422
467,818,1285
1067,752,1819
1062,105,1167
277,107,384
437,488,925
737,825,1562
1070,133,1203
313,122,435
460,507,967
763,788,1551
1059,209,1268
378,248,626
575,694,1269
939,960,1899
1064,138,1202
312,183,495
515,619,1134
869,615,1484
1050,138,1188
298,147,445
465,476,941
713,730,1443
1079,109,1188
298,145,443
492,560,1052
826,677,1503
1064,109,1173
283,139,422
471,600,1071
850,1357,2207
1074,109,1183
293,143,436
485,659,1144
919,766,1685
1058,156,1214
324,157,481
483,611,1094
855,1012,1867
1071,162,1233
343,211,554
550,764,1314
1022,1191,2213
1056,109,1165
275,151,426
475,619,1094
861,661,1522
1055,191,1246
356,270,626
1055,191,1246
356,203,559
526,614,1140
855,858,1713
1059,173,1232
342,231,573
558,713,1271
958,796,1754
1071,167,1238
348,174,522
513,697,1210
955,676,1631
1054,113,1167
277,124,401
446,613,1059
854,623,1477
1064,197,1261
371,249,620
581,1019,1600
1270,976,2246
1049,113,1162
272,118,390
435,507,942
742,677,1419
1057,104,1161
271,107,378
432,602,1034
846,560,1406
1064,109,1173
283,139,422
471,609,1080
860,764,1624
1053,105,1158
268,150,418
471,623,1094
862,742,1604
1074,202,1276
386,221,607
563,1116,1679
1377,1081,2458
1065,138,1203
313,173,486
506,602,1108
853,916,1769
1100,193,1293
403,281,684
649,771,1420
1057,865,1922
1067,128,1195
305,177,482
512,636,1148
889,853,1742
1071,140,1211
321,130,451
469,816,1285
1073,822,1895
1046,138,1184
294,136,430
450,553,1003
786,829,1615
1055,109,1164
274,110,384
433,516,949
757,774,1531
1059,105,1164
274,98,372
425,586,1011
832,807,1639
1070,109,1179
289,112,401
450,515,965
772,876,1648
1065,142,1207
317,216,533
549,695,1244
947,846,1793
1069,142,1211
